block_number,timestamp,base_fee_per_gas
24443238,1770929999,45666005
24443239,1770930011,46583322
24443240,1770930023,52405367
24443241,1770930035,53357674
24443242,1770930047,48402921
24443243,1770930059,54452585
24443244,1770930071,61202699
24443245,1770930083,60882786
24443246,1770930095,59870977
24443247,1770930107,55619749
24443248,1770930119,57749393
24443249,1770930131,63757215
24443250,1770930143,58604998
24443251,1770930155,61505871
24443252,1770930167,57560528
24443253,1770930179,62722805
24443254,1770930191,62534848
24443255,1770930203,59594406
24443256,1770930215,63973584
24443257,1770930227,59555046
24443258,1770930239,60173851
24443259,1770930251,58525463
24443260,1770930263,53875284
24443261,1770930275,50861395
24443262,1770930287,48460053
24443263,1770930299,48784245
24443264,1770930311,53066950
24443265,1770930323,52030209
24443266,1770930335,54014067
24443267,1770930347,52474810
24443268,1770930359,49853716
24443269,1770930371,50078711
24443270,1770930383,56227791
24443271,1770930395,59020708
24443272,1770930407,57422094
24443273,1770930419,63034361
24443274,1770930431,63140237
24443275,1770930443,67065763
24443276,1770930455,66990064
24443277,1770930467,68750591
24443278,1770930479,68309390
24443279,1770930491,66683407
24443280,1770930503,65290309
24443281,1770930515,65756321
24443282,1770930527,66162442
24443283,1770930539,59305235
24443284,1770930551,55350596
24443285,1770930563,62234378
24443286,1770930575,59706772
24443287,1770930587,57829782
24443288,1770930599,57764405
24443289,1770930611,52288265
24443290,1770930623,50952739
24443291,1770930635,46627187
24443292,1770930647,51775385
24443293,1770930659,52654681
24443294,1770930671,57618221
24443295,1770930683,51582097
24443296,1770930695,52156467
24443297,1770930707,56078050
24443298,1770930719,54697630
24443299,1770930731,52339387
24443300,1770930743,56794128
24443301,1770930755,53030697
24443302,1770930767,55546044
24443303,1770930779,53568008
24443304,1770930791,52103935
24443305,1770930803,52954842
24443306,1770930815,53352716
24443307,1770930827,49875415
24443308,1770930839,50079485
24443309,1770930851,46875776
24443310,1770930863,52048508
24443311,1770930875,56240840
24443312,1770930887,56678614
24443313,1770930899,52891645
